TIC ID,CTOI,Promoted to TOI,TESS Mag,TESS Mag err,RA,Dec,PM RA (mas/yr),PM RA err (mas/yr),PM Dec (mas/yr),PM RA (mas/yr).1,Transit Epoch (BJD),Transit Epoch (BJD) err,Period (days),Period (days) Error,Depth mmag,Depth mmag Error,Depth ppm,Depth ppm Error,Duration (hrs),Radius (R_Earth),Radius (R_Earth) Error,Stellar Distance (pc),Stellar Distance (pc) err,Stellar Eff Temp (K),Stellar Eff Temp (K) err,Stellar log(g) (cm/s^2),Stellar log(g) (cm/s^2) err,Stellar Radius (R_Sun),Stellar Radius (R_Sun) err,cTOI author,period_PHT,period err neg,period err pos,depth_PHT,planet_radius
55525572,55525572.01,813.01,9.8467,0.006,72.69401,-60.905461,-3.733,0.047,-2.789,0.054,2458454.675,0.01,83.8889,0.01,1.133014,0.003257,1043,3,14,,,263.145,1.569,5823.7,122.925,3.83849,0.0747553,2.04354,0.0984121,PHT,83.8951,0.004,0.004,1349.153603,7.31
296737508,296737508,,9.19706,0.006,142.17927,-14.686449,1.342,0.079,-4.534,0.063,2458538,0.1,,,1.956086,0.108579,1800,100,13,,,118.021,0.582,5699.6,132.759,4.23585,0.0784879,1.27157,0.067284,PHT,18.27,5.06,17.45,2029.595982,5.33
306472057,306472057,791.01,10.7525,0.006,118.434757,-69.701736,-5.065,0.056,8.192,0.051,2458288.309,0.004,139.3138,0.0027,5.043213,0.141155,4634.2,130,12.14,10.4,0.4,341.221,3.0735,6727,129.064,4.28297,0.0905851,1.42962,0.0590955,PHT,139.3036031,0.000406432,0.000406432,4900.505567,10.25533771
101641905,101641905,,11.2102,0.006,175.359202,34.68337,23.833,0.057,-22.12,0.052,2458917.25,0.05,0,,3,21.935,0.543,20000,500,8.5,2,108.444,0.402,4517,124.556,4.56239,0.0992023,0.730241,0.0574296,PHT,14.52,5.25,6.21,13403.43825,9.76
103633672,103633672,2085.01,9.8499,0.006,152.223473,70.394557,-33.703,0.047,-40.063,0.059,2458850.35,0.02,0,,7,2.174,0.217,2000,200,3.5,1,84.5772,0.23065,5134,126.158,4.57244,0.0884481,0.799051,0.0487588,PHT,90.9,23.7,46.4,1707.608929,3.45
110996418,110996418,,13.4003,0.006,188.696788,-10.31971,-8.077,1.787,-10.82,1.287,2458580.65,0.01,0,0,3.6,13.108,1.086,12000,1000,12.7,3,696.695,,,,,,,,PHT,5.18,2.93,6.86,12364.83844,12.7
128703021,128703021,,5.5859,0.006,219.793951,-46.585398,-198.202,0.122,-214.385,0.08,2458601.85,,0,,7.2,0.652,0.217,600,200,4,2,34.0141,0.06055,6281.14,103.866,4.12175,0.07672,1.59629,0.0630025,PHT,26,8.22,22.35,692.8116294,4.44
138126035,138126035,2321.01,9.84325,0.006,196.736409,16.54934,-3.822,0.103,-25.162,0.069,2458954.323,0.007,,,4.6,1.527,0.652,1405,600,4,0.7,120.535,0.6485,5645.84,105.274,4.46148,0.0728202,0.974373,0.0429648,PHT,28.8,14,203.2,1573.464938,4.01
139470998,139470998,,9.9103,0.007,35.576414,-25.598203,23.994,0.077,9.956,0.089,2458394.987,0.003,121.8,0.5,10.8,2.897,0.163,2664.95,150,8.27,0.4,260.441,3.2395,6877,124.776,4.27676,0.0883293,1.46976,0.0620553,PHT,121.8,17.4,24.4,557.4723546,8.27
142087638,142087638,2404.01,11.1464,0.006,98.442149,-74.190098,-14.483,0.04,5.89,0.051,2458512.17,0.01,0,0,2.55,2.718,0.543,2500,500,5.8,1,295.737,2.154,6142,132.18,4.35874,0.0831648,1.18003,0.0538191,PHT,3.14,1.41,12.04,2490.726823,6.05
